HOLE.ID,DISTANCE,AZIMUTH,DIP
BHWS 526_W_44S_002,0,0,0
BHWS 526_W_44S_003,0,0,0
BHWS_470_52S_E_001,0,36.78,0
BHWS_470_52S_E_003,0,34.62,0
BHWS_470_52S_E_004,0,37.96,0
BHWS_470_52S_E_005,0,69.22,0
BHWS_470_52S_E_008,0,41.96,0
BHWS_470_52S_E_009,0,43.85,0
BHWS_470_52S_E_010,0,46.11,0
BHWS_470_52S_E_011,0,44.58,0
BHWS_470_52S_E_012,0,37.25,0
BHWS_470_52S_E_014,0,33.42,0
BHWS_470_52S_E_015,0,32.98,0
BHWS_470_52S_E_017,0,36.76,0
BHWS_470_52S_E_018,0,36.71,0
BHWS_470_52S_E_019,0,34.52,0
BHWS_470_52S_E_021,0,14.69,0
BHWS_470_52S_E_022,0,12.13,0
BHWS_470_52S_E_023,0,16.96,0
BHWS_470_52S_E_024,0,18.58,0
BHWS_470_52S_E_025,0,21.58,0
BHWS_470_52S_E_026,0,23.06,0
BHWS_470_52S_E_027,0,46.58,0
BHWS_470_52S_E_028,0,28.19,0
BHWS_470_52S_E_030,0,30.66,0
BHWS_470_52S_E_031,0,33.59,0
BHWS_470_52S_E_032,0,34.61,0
BHWS_470_52S_E_033,0,35.91,0
BHWS_470_52S_E_034,0,33.43,0
BHWS_470_60S_E_001,0,31.11,0
BHWS_470_60S_E_003,0,34.46,0
BHWS_470_60S_E_005,0,29.54,0
BHWS_470_60S_E_006,0,37.57,0
BHWS_485_45S_W_001,0,9.42,0
BHWS_485_45S_W_002,0,11.27,0
BHWS_485_45S_W_003,0,37.39,0
BHWS_485_45S_W_004,0,68.86,0
BHWS_485_45S_W_005,0,67.52,0
BHWS_485_45S_W_006,0,66.84,0
BHWS_485_45S_W_007,0,66.02,0
BHWS_485_45S_W_008,0,66.45,0
BHWS_485_46S_W_001,0,255.68,0
BHWS_485_46S_W_002,0,258.72,0
BHWS_485_46S_W_003,0,256.38,0
BHWS_485_46S_W_004,0,237.83,0
BHWS_485_46S_W_005,0,203,0
BHWS_485_46S_W_006,0,201.09,0
BHWS_485_46S_W_007,0,203.79,0
BHWS_485_46S_W_009,0,200.19,0
BHWS_485_46S_W_010,0,199.75,0
BHWS_485_46S_W_011,0,205.16,0
BHWS_485_46S_W_012,0,206.07,0
BHWS_485_46S_W_014,0,322,0
BHWS_485_46S_W_016,0,324.14,0
BHWS_485_46S_W_017,0,323.86,0
BHWS_485_52S_E_001,0,48,0
BHWS_485_52S_E_002,0,33,0
BHWS_485_52S_E_003,0,23,0
BHWS_485_52S_E_004,0,19,0
BHWS_485_52S_E_005,0,25,0
BHWS_485_52S_E_006,0,42,0
BHWS_485_52S_E_007,0,38,0
BHWS_485_52S_E_008,0,25,0
BHWS_485_52S_E_009,0,17,0
BHWS_485_52S_E_010,0,39,0
BHWS_485_52S_E_011,0,40,0
BHWS_485_52S_E_012,0,32,0
BHWS_485_52S_E_013,0,21,0
BHWS_485_52S_E_014,0,20,0
BHWS_485_52S_E_015,0,353,0
BHWS_485_52S_E_016,0,17,0
BHWS_485_52S_E_017,0,17,0
BHWS_485_52S_E_018,0,27,0
BHWS_485_52S_E_019,0,32,0
BHWS_485_52S_E_020,0,37,0
BHWS_485_52S_E_021,0,39,0
BHWS_485_52S_E_022,0,34,0
BHWS_485_52S_E_023,0,24,0
BHWS_485_52S_E_024,0,36,0
BHWS_485_54S_E_001,0,52.9,0
BHWS_485_54S_E_002,0,37.01,0
BHWS_485_54S_E_003,0,30.34,0
BHWS_485_54S_E_004,0,36.39,0
BHWS_485_54S_E_005,0,34.65,0
BHWS_485_54S_E_007,0,31.63,0
BHWS_485_54S_E_008,0,33.84,0
BHWS_485_54S_E_009,0,27.33,0
BHWS_485_54S_E_010,0,26.26,0
BHWS_485_54S_E_011,0,5.6,0
